tweet_number,word,tf-idf_score
0,Amazing,0.5595022575492133
0,Glastonbury,0.336719859776072
0,Kodaline,0.5595022575492133
0,performance,0.490910087049405
0,wow,0.13979080821068163
1,Glastonbury,0.5506588314788765
1,Monkeys,0.8028156553509846
1,wow,0.22860856247675307
2,Glastonbury,0.5669602531394364
2,right,0.7894011201439447
2,wow,0.23537617312623552
3,Ben,0.39022385348261845
3,Glastonbury,0.3199614180030048
3,Howard,0.40129928634784323
3,Wow,0.240997567662404
3,tdcc,0.5316560057383647
3,tonight,0.493529109458122
4,Arctics,0.4444364438105378
4,Glastonbury,0.2674709083297975
4,Just,0.3354650860765629
4,http,0.24281547366125666
4,set,0.4444364438105378
4,watched,0.3899507649435504
4,wow,0.11104178551610498
4,wzrwgsBMXr,0.4444364438105378
5,Arctic,0.5030077082098573
5,Glastonbury,0.3261065183408889
5,Monkeys,0.4754367010385658
5,envy,0.5030077082098573
5,night,0.37848642619984674
5,wow,0.1353846303926378
6,Arctic,0.43156002182858527
6,Glastonbury,0.27978604279146113
6,Monkeys,0.4079052263602929
6,RT,0.21857407006364019
6,envy,0.43156002182858527
6,night,0.3247258594384859
6,willdhooghe,0.46489958351933075
6,wow,0.11615447058542062
7,Gasquet,0.9701770708100371
7,wow,0.24239730046858232
8,25p,0.5021499355772775
8,Nana,0.5021499355772775
8,cheer,0.5021499355772775
8,gave,0.47462594489304605
8,wow,0.1351537607082824
9,BudiRagiel,0.26993559236472703
9,RT,0.2538222152472407
9,Serius,0.2505775747342433
9,banget,0.2505775747342433
9,desain,0.2505775747342433
9,desamembangun,0.2505775747342433
9,http,0.14747786692761533
9,jwaluyo,0.2505775747342433
9,lbh,0.2505775747342433
9,maju,0.2505775747342433
9,merancang,0.2505775747342433
9,pelatihn,0.2505775747342433
9,prianthon,0.26993559236472703
9,so3p,0.26993559236472703
9,utk,0.2505775747342433
9,wow,0.06744300690900286
9,zulaura,0.2505775747342433
10,Jazzy,0.45064524891221264
10,answer,0.45064524891221264
10,doesnt,0.45064524891221264
10,tells,0.45064524891221264
10,text,0.41832791499890887
10,wow,0.11259304625093658
11,automatic,0.28792720399884836
11,broken,0.28792720399884836
11,comfort,0.28792720399884836
11,deinsmarquez,0.28792720399884836
11,enjoyed,0.28792720399884836
11,neon,0.28792720399884836
11,patjaranilla,0.28792720399884836
11,pink,0.28792720399884836
11,umbrella,0.28792720399884836
11,used,0.28792720399884836
11,walking,0.28792720399884836
11,wow,0.07193818435898
11,zekaf,0.28792720399884836
12,RU9jTY6LyX,0.5841409551370698
12,This,0.4409154526478022
12,http,0.3191422861060689
12,photo,0.5841409551370698
12,wow,0.14594675021554845
13,088529,0.2561955432470894
13,218DF452,0.2561955432470894
13,3333,0.2561955432470894
13,946,0.2561955432470894
13,Hits,0.2561955432470894
13,Jangan,0.2561955432470894
13,Live,0.2561955432470894
13,Pergi,0.2561955432470894
13,Princess_Ind,0.2561955432470894
13,WOW,0.15663362392609065
13,Were,0.2561955432470894
13,While,0.2561955432470894
13,Young,0.2561955432470894
13,ditunggu,0.2561955432470894
13,nya,0.23782287219773957
13,onedirection,0.2561955432470894
14,8ZGFAHEHWg,0.2871151178718808
14,Center,0.2871151178718808
14,Central,0.2871151178718808
14,EarthPctures,0.2871151178718808
14,Manhattan,0.2871151178718808
14,NYC,0.2871151178718808
14,Park,0.2871151178718808
14,Rockefeller,0.2871151178718808
14,Skyline,0.2871151178718808
14,exact,0.2871151178718808
14,http,0.15686380879037012
14,seen,0.251916244493951
14,view,0.2871151178718808
14,wow,0.07173528584607188
15,MT,0.5705033054035475
15,gorgeous,0.5705033054035475
15,sunrises,0.5705033054035475
15,wow,0.15355108456432168
16,15,0.35878960576440505
16,FinishLine,0.3865073914496877
16,RETRO,0.3865073914496877
16,UPDATE,0.3865073914496877
16,We,0.3391235238494372
16,sizes,0.3865073914496877
16,sold,0.3865073914496877
16,wow,0.09656829780602216
17,AbigailPictonx,0.457803713873571
17,Blaymire,0.457803713873571
17,Mr,0.457803713873571
17,RT,0.21523792358363314
17,moves,0.457803713873571
17,night,0.3197694936965773
17,wow,0.11438157809150401
18,Glastonbury,0.45847016301005317
18,KMmBwIjM5C,0.7618056487481024
18,http,0.41620844108240407
18,wow,0.19033601008945494
19,12,0.475300985239853
19,BsballPlayers,0.475300985239853
19,Max,0.475300985239853
19,RT,0.22346432333341312
19,Scherzer,0.475300985239853
19,Wow,0.21545205944070273
20,Everything,0.2958867327654013
20,These,0.27466766884233146
20,Wow,0.13412428737827348
20,big,0.27466766884233146
20,dream,0.2958867327654013
20,feel,0.2958867327654013
20,imagination,0.2958867327654013
20,old,0.27466766884233146
20,reach,0.2958867327654013
20,real,0.2596125033970051
20,touch,0.2958867327654013
20,words,0.2958867327654013
20,year,0.27466766884233146
21,Cause,0.5714356357724562
21,attention,0.5714356357724562
21,course,0.5714356357724562
21,wow,0.14277234503917982
22,Get,0.3356759787849429
22,boss,0.3616081537704357
22,coming,0.3616081537704357
22,im,0.3616081537704357
22,shower,0.3616081537704357
22,supposed,0.3616081537704357
22,text,0.3356759787849429
22,work,0.3356759787849429
22,wow,0.09034726024621154
23,agora,0.49614356210247323
23,usar,0.49614356210247323
23,vestido,0.49614356210247323
23,vou,0.49614356210247323
23,wow,0.12396073223838731
24,15,0.329666889466029
24,18,0.35513484071920237
24,Can,0.35513484071920237
24,Wow,0.16098122071740764
24,believe,0.329666889466029
24,lost,0.35513484071920237
24,months,0.35513484071920237
24,stone,0.35513484071920237
24,woman,0.35513484071920237
25,19,0.4686081025631598
25,Exactly,0.504809761553698
25,ill,0.504809761553698
25,month,0.504809761553698
25,wow,0.12612596930232375
26,Day,0.2995619717496544
26,Game,0.2995619717496544
26,Hey,0.2995619717496544
26,Its,0.2995619717496544
26,Ridernation,0.2995619717496544
26,WOW,0.18314712516423384
26,We,0.2628371765155552
26,need,0.2995619717496544
26,season,0.2995619717496544
26,sskroughriders,0.2995619717496544
26,starts,0.2995619717496544
26,today,0.2995619717496544
27,Both,0.5424117691550724
27,McLaren,0.5424117691550724
27,P3,0.5843150264653957
27,Wow,0.2648676937847897
28,They,0.39291115135747473
28,actually,0.45269697959667854
28,gave,0.427883618951965
28,phone,0.45269697959667854
28,planmymistake,0.48766944719116856
28,wow,0.12184348721151221
29,Sambil,0.27907505211176287
29,Serius,0.2590616121215736
29,banget,0.2590616121215736
29,desain,0.2590616121215736
29,desamembangun,0.2590616121215736
29,http,0.15247116187088633
29,iaU4wEwbQw,0.27907505211176287
29,jwaluyo,0.2590616121215736
29,lbh,0.2590616121215736
29,maju,0.2590616121215736
29,merancang,0.2590616121215736
29,ngtwit,0.27907505211176287
29,pelatihn,0.2590616121215736
29,utk,0.2590616121215736
29,wow,0.06972648735507551
29,zulaura,0.2590616121215736
30,Both,0.5424117691550724
30,McLaren,0.5424117691550724
30,Q3,0.5843150264653957
30,Wow,0.2648676937847897
31,We,0.36769875083621184
31,counting,0.41907527797484806
31,gossipshona,0.41907527797484806
31,money,0.3890219361814631
31,smiling,0.41907527797484806
31,thanks,0.41907527797484806
31,wow,0.10470533589235281
32,19,0.2856541502574308
32,40,0.3077219593292077
32,80,0.2856541502574308
32,Europe,0.2856541502574308
32,Running,0.3077219593292077
32,Wow,0.13948914883723432
