tweet_number,word,tf-idf_score
0,Emma,0.22753342211584213
0,FestivalOfSail,0.22753342211584213
0,Glastonbury,0.22753342211584213
0,Hoe,0.22753342211584213
0,Plymouth,0.22753342211584213
0,TMmYn2UkAB,0.6154205893883044
0,We,0.22753342211584213
0,Who,0.22753342211584213
0,great,0.22753342211584213
0,having,0.22753342211584213
0,http,0.22753342211584213
0,needs,0.22753342211584213
0,time,0.22753342211584213
1,Emma,0.2531920386138578
1,FestivalOfSail,0.2531920386138578
1,Glastonbury,0.2531920386138578
1,Hoe,0.2531920386138578
1,Plymouth,0.2531920386138578
1,RT,0.27732381733916817
1,TMmYn2U,0.27732381733916817
1,We,0.2531920386138578
1,Who,0.2531920386138578
1,great,0.2531920386138578
1,having,0.2531920386138578
1,heart_southwest,0.27732381733916817
1,http,0.2531920386138578
1,needs,0.2531920386138578
1,time,0.2531920386138578
2,Emma,0.2531920386138578
2,FestivalOfSail,0.2531920386138578
2,Glastonbury,0.2531920386138578
2,Hoe,0.2531920386138578
2,Plymouth,0.2531920386138578
2,RT,0.27732381733916817
2,TMmYn2U,0.27732381733916817
2,We,0.2531920386138578
2,Who,0.2531920386138578
2,great,0.2531920386138578
2,having,0.2531920386138578
2,heart_southwest,0.27732381733916817
2,http,0.2531920386138578
2,needs,0.2531920386138578
2,time,0.2531920386138578
3,Emma,0.2531920386138578
3,FestivalOfSail,0.2531920386138578
3,Glastonbury,0.2531920386138578
3,Hoe,0.2531920386138578
3,Plymouth,0.2531920386138578
3,RT,0.27732381733916817
3,TMmYn2U,0.27732381733916817
3,We,0.2531920386138578
3,Who,0.2531920386138578
3,great,0.2531920386138578
3,having,0.2531920386138578
3,heart_southwest,0.27732381733916817
3,http,0.2531920386138578
3,needs,0.2531920386138578
3,time,0.2531920386138578
4,Emma,0.2531920386138578
4,FestivalOfSail,0.2531920386138578
4,Glastonbury,0.2531920386138578
4,Hoe,0.2531920386138578
4,Plymouth,0.2531920386138578
4,RT,0.27732381733916817
4,TMmYn2U,0.27732381733916817
4,We,0.2531920386138578
4,Who,0.2531920386138578
4,great,0.2531920386138578
4,having,0.2531920386138578
4,heart_southwest,0.27732381733916817
4,http,0.2531920386138578
4,needs,0.2531920386138578
4,time,0.2531920386138578
5,Emma,0.2531920386138578
5,FestivalOfSail,0.2531920386138578
5,Glastonbury,0.2531920386138578
5,Hoe,0.2531920386138578
5,Plymouth,0.2531920386138578
5,RT,0.27732381733916817
5,TMmYn2U,0.27732381733916817
5,We,0.2531920386138578
5,Who,0.2531920386138578
5,great,0.2531920386138578
5,having,0.2531920386138578
5,heart_southwest,0.27732381733916817
5,http,0.2531920386138578
5,needs,0.2531920386138578
5,time,0.2531920386138578
6,Emma,0.2531920386138578
6,FestivalOfSail,0.2531920386138578
6,Glastonbury,0.2531920386138578
6,Hoe,0.2531920386138578
6,Plymouth,0.2531920386138578
6,RT,0.27732381733916817
6,TMmYn2U,0.27732381733916817
6,We,0.2531920386138578
6,Who,0.2531920386138578
6,great,0.2531920386138578
6,having,0.2531920386138578
6,heart_southwest,0.27732381733916817
6,http,0.2531920386138578
6,needs,0.2531920386138578
6,time,0.2531920386138578
7,Emma,0.2531920386138578
7,FestivalOfSail,0.2531920386138578
7,Glastonbury,0.2531920386138578
7,Hoe,0.2531920386138578
7,Plymouth,0.2531920386138578
7,RT,0.27732381733916817
7,TMmYn2U,0.27732381733916817
7,We,0.2531920386138578
7,Who,0.2531920386138578
7,great,0.2531920386138578
7,having,0.2531920386138578
7,heart_southwest,0.27732381733916817
7,http,0.2531920386138578
7,needs,0.2531920386138578
7,time,0.2531920386138578
8,Emma,0.2531920386138578
8,FestivalOfSail,0.2531920386138578
8,Glastonbury,0.2531920386138578
8,Hoe,0.2531920386138578
8,Plymouth,0.2531920386138578
8,RT,0.27732381733916817
8,TMmYn2U,0.27732381733916817
8,We,0.2531920386138578
8,Who,0.2531920386138578
8,great,0.2531920386138578
8,having,0.2531920386138578
8,heart_southwest,0.27732381733916817
8,http,0.2531920386138578
8,needs,0.2531920386138578
8,time,0.2531920386138578
9,Emma,0.2531920386138578
9,FestivalOfSail,0.2531920386138578
9,Glastonbury,0.2531920386138578
9,Hoe,0.2531920386138578
9,Plymouth,0.2531920386138578
9,RT,0.27732381733916817
9,TMmYn2U,0.27732381733916817
9,We,0.2531920386138578
9,Who,0.2531920386138578
9,great,0.2531920386138578
9,having,0.2531920386138578
9,heart_southwest,0.27732381733916817
9,http,0.2531920386138578
9,needs,0.2531920386138578
9,time,0.2531920386138578
